ended_utc,player,result,reached,rating,comment,file
2026-09-24T20:57:37.8856973Z,Quintus,Defeat,2.6 r5c0,3,irritation and math,runs/quintus-c71b7dcb6ee4/2026-09-24-seed165882923-defeat-1be3a2fe.json
2026-09-24T11:01:45.4066332Z,BigPP,Defeat,1.13 r12c0,3,Nice,runs/bigpp-f4e9fc8dec0c/2026-09-24-seed165882923-defeat-8c6d1370.json
2026-09-23T20:37:13.9128239Z,Erster,Defeat,1.23 r22c0,5,its hard to maintain focus on the long run (ive adhs in english),runs/erster-94c37b2a8fd2/2026-09-23-seed249771018-defeat-43bd00ab.json
2026-09-23T18:01:15.3963061Z,Derin,Defeat,1.12 r11c0,5,,runs/derin-8ef75b3f4fc7/2026-09-23-seed249771018-defeat-62c50a4d.json
